10452 | 4478 | 14465 | 6223 | 25998 | 59218 |
10453 | 5834 | 17742 | 7693 | 27668 | 65162 |
10454 | 2357 | 8494 | 5102 | 17076 | 34086 |
10455 | 2187 | 8180 | 4815 | 17801 | 35183 |
10456 | 7610 | 24128 | 6990 | 27288 | 72814 |
10457 | 4937 | 15759 | 7022 | 25194 | 58251 |
10458 | 4262 | 13045 | 7029 | 25053 | 57057 |
10459 | 2567 | 9528 | 5255 | 19229 | 39573 |
10460 | 3254 | 12607 | 5735 | 22460 | 48604 |
10461 | 3389 | 9568 | 3429 | 13629 | 45906 |
10462 | 5714 | 18867 | 6511 | 24194 | 70313 |
10463 | 7540 | 21028 | 4830 | 19675 | 71137 |
10464 | 583 | 1868 | 122 | 558 | 5025 |
10465 | 3234 | 10285 | 2594 | 11800 | 41493 |
10466 | 7942 | 28804 | 2830 | 10802 | 57842 |
10467 | 7579 | 24925 | 7374 | 26784 | 78633 |
10468 | 4081 | 12718 | 6897 | 26266 | 58144 |
10469 | 7040 | 25377 | 2912 | 12031 | 59132 |
10470 | 2313 | 6602 | 527 | 2051 | 14822 |
10471 | 3670 | 9768 | 1031 | 3878 | 26322 |
10472 | 3674 | 12139 | 6460 | 22940 | 51200 |
10473 | 4664 | 18489 | 5502 | 24045 | 58251 |
10474 | 704 | 2268 | 1326 | 4469 | 9132 |
10475 | 5834 | 20537 | 2333 | 9196 | 44331 |
10501 | 204 | 539 | 30 | 82 | 1636 |
10502 | 921 | 2403 | 151 | 568 | 7212 |
10503 | 59 | 115 | 2 | 5 | 241 |
10504 | 1741 | 4260 | 150 | 494 | 11462 |
10505 | 97 | 407 | 24 | 106 | 1374 |
10506 | 1406 | 3477 | 104 | 319 | 8467 |
10507 | 1181 | 2480 | 208 | 561 | 6656 |
10509 | 3715 | 8844 | 586 | 1809 | 23267 |
10510 | 1979 | 4947 | 252 | 814 | 13485 |
10511 | 465 | 1018 | 49 | 185 | 2649 |
10512 | 4729 | 11245 | 872 | 2685 | 31155 |
10514 | 2226 | 5842 | 224 | 755 | 15196 |
10516 | 1412 | 3231 | 126 | 298 | 7656 |
10517 | 141 | 303 | 32 | 99 | 932 |
10518 | 296 | 755 | 34 | 86 | 1888 |
10519 | 144 | 237 | 16 | 28 | 609 |
10520 | 3092 | 6828 | 361 | 978 | 17546 |
10521 | 42 | 56 | 1 | 6 | 151 |
10522 | 2256 | 5103 | 414 | 1084 | 14400 |
10523 | 1579 | 3602 | 429 | 1448 | 9590 |
10524 | 1081 | 2542 | 115 | 311 | 5872 |
10526 | 420 | 899 | 42 | 106 | 2634 |
10527 | 158 | 419 | 9 | 52 | 1178 |
10528 | 1692 | 4070 | 338 | 997 | 14199 |
10530 | 2813 | 6184 | 492 | 1586 | 17702 |
10532 | 686 | 2013 | 123 | 368 | 5970 |
10533 | 1611 | 3883 | 188 | 520 | 10171 |
10535 | 94 | 184 | 22 | 71 | 644 |
10536 | 2360 | 5634 | 181 | 526 | 14408 |
10537 | 455 | 1020 | 102 | 275 | 2734 |
10538 | 3378 | 8541 | 368 | 1136 | 21850 |
10540 | 130 | 130 | 14 | 14 | 413 |
10541 | 3748 | 10042 | 634 | 2074 | 30156 |
10543 | 3313 | 7500 | 649 | 2166 | 23130 |
